loans,age,marital_status
3,34,1
2,37,1
2,29,1
2,33,1
2,39,1
2,28,1
3,28,1
2,25,1
2,41,1
2,26,1
2,30,1
2,23,1
2,47,1
2,23,1
2,24,1
3,28,1
3,31,1
2,47,1
1,22,0
1,38,0
1,23,0
1,27,0
2,23,0
2,27,0
2,35,0
1,23,0
1,26,0
1,17,0
2,27,0
2,29,0
2,43,0
2,24,0
2,30,0
1,33,0
1,30,0
2,34,0
1,23,0
1,26,0
2,19,0
2,36,0
1,35,0
1,30,0
0,42,1
0,35,1
1,23,1
1,28,1
1,48,1
1,23,1
1,19,1
2,50,0
1,33,1
0,40,0
0,25,1
3,47,1
3,18,1
2,38,1
3,25,1
2,33,1
2,31,1
2,34,1
2,47,1
2,40,1
3,36,1
2,32,1
3,28,1
2,38,1
2,26,1
2,43,1
3,42,1
2,46,1
2,25,1
2,32,1
3,34,1
2,33,1
3,26,1
3,40,1
3,41,1
3,31,1
2,51,1
2,46,1
3,36,1
3,38,1
0,35,0
0,42,0
0,44,0
0,33,0
1,25,0
1,34,0
0,42,0
1,35,0
1,26,0
1,27,0
1,39,0
2,44,0
2,33,0
2,34,0
1,21,0
1,36,0
1,37,0
1,41,0
2,29,0
1,39,1
1,41,0
2,59,0
1,28,1
1,32,0
1,25,0
2,46,0
2,26,0
1,53,0
1,44,1
2,53,0
1,45,0
2,52,0
1,32,0
1,49,0
1,59,0
1,55,0
1,38,0
2,52,0
2,42,0
2,54,0
2,62,1
1,39,0
2,48,0
2,36,0
2,36,0
2,51,0
1,62,0
1,50,0
1,59,0
1,25,0
1,48,0
2,49,0
2,60,0
1,57,0
2,53,0
2,41,0
2,50,0
2,28,0
2,54,0
1,35,0
1,49,0
0,54,1
0,45,1
1,39,1
1,35,1
1,30,1
1,51,1
1,55,1
1,53,1
1,49,1
1,55,1
1,34,1
1,31,1
1,56,1
1,47,1
1,47,1
1,63,1
1,54,1
1,38,1
1,50,1
1,66,1
1,56,1
1,57,1
1,31,1
1,44,1
1,54,1
1,38,1
1,53,1
1,53,1
1,27,1
1,53,1
1,51,1
1,42,1
1,48,1
1,37,1
1,33,1
1,32,1
1,40,1
1,41,1
1,46,1
1,43,1
1,34,1
1,32,1
1,31,1
1,35,1
1,41,1
1,46,1
1,38,1
1,40,1
1,52,1
0,43,0
1,45,1
1,54,1
3,54,1
3,40,1
2,44,1
3,46,1
3,51,1
3,56,1
3,55,1
2,51,1
0,40,1
1,50,0
0,56,0
1,43,0
1,63,0
1,38,0
0,49,0
0,54,0
1,51,0
1,38,0
1,43,0
1,43,0
0,43,0
1,60,0
0,50,0
0,42,0
0,51,0
0,49,0
0,54,0
0,37,0
0,46,0
1,34,0
1,47,0
1,55,0
0,49,0
1,32,0
1,48,0
0,45,1
1,51,1
1,48,0
0,52,1
0,37,1
0,49,1
0,44,1
0,50,1
0,33,1
0,45,1
0,60,1
0,51,1
0,55,1
0,51,1
0,54,1
1,60,1
